source,line_or_turn,field,entity_type,detected_text,confidence,start,end
transcript_01_clean.md,4,transcript_line,DATE_TIME,2026-07-14,0.95,10,20
transcript_01_clean.md,15,transcript_line,NRP,"kb_search(query=""return",0.85,5,28
transcript_01_clean.md,18,transcript_line,DATE_TIME,30-day,0.85,81,87
transcript_01_clean.md,22,transcript_line,DATE_TIME,ORD-2026-3902,0.85,30,43
transcript_01_clean.md,27,transcript_line,EMAIL_ADDRESS,daniel.okonkwo@example.net,1.0,53,79
transcript_01_clean.md,27,transcript_line,PERSON,Daniel Okonkwo,0.85,37,51
transcript_01_clean.md,27,transcript_line,PERSON,4419 SE,0.85,98,105
transcript_01_clean.md,27,transcript_line,LOCATION,Hawthorne Blvd,0.85,106,120
transcript_01_clean.md,27,transcript_line,LOCATION,Portland,0.85,122,130
transcript_01_clean.md,27,transcript_line,DATE_TIME,2024-01-22,0.85,176,186
transcript_01_clean.md,27,transcript_line,URL,example.net,0.5,68,79
transcript_01_clean.md,27,transcript_line,PHONE_NUMBER,+1-503-555-0178,0.4,81,96
transcript_01_clean.md,29,transcript_line,DATE_TIME,ORD-2026-3902,0.85,48,61
transcript_01_clean.md,29,transcript_line,LOCATION,the Halden Arc Floor Lamp,0.85,64,89
transcript_01_clean.md,29,transcript_line,DATE_TIME,July 2nd,0.85,113,121
transcript_01_clean.md,31,transcript_line,DATE_TIME,30-day,0.85,56,62
transcript_01_clean.md,31,transcript_line,DATE_TIME,August 1st,0.85,83,93
transcript_01_clean.md,35,transcript_line,DATE_TIME,15 minutes,0.85,110,120
transcript_01_clean.md,37,transcript_line,DATE_TIME,3–5 business days,0.85,97,114
transcript_01_clean.md,43,transcript_line,PERSON,Daniel,0.85,33,39
transcript_02_refund.md,4,transcript_line,DATE_TIME,2026-07-19,0.95,10,20
transcript_02_refund.md,4,transcript_line,DATE_TIME,2026-07-19 16:47,0.85,10,26
transcript_02_refund.md,7,transcript_line,DATE_TIME,09s,0.85,17,20
transcript_02_refund.md,16,transcript_line,EMAIL_ADDRESS,marcus.webb@example.com,1.0,14,37
transcript_02_refund.md,16,transcript_line,URL,example.com,0.5,26,37
transcript_02_refund.md,20,transcript_line,EMAIL_ADDRESS,marcus.webb@example.com,1.0,23,46
transcript_02_refund.md,20,transcript_line,URL,example.com,0.5,35,46
transcript_02_refund.md,21,transcript_line,EMAIL_ADDRESS,marcus.webb@example.com,1.0,50,73
transcript_02_refund.md,21,transcript_line,PERSON,Marcus Webb,0.85,37,48
transcript_02_refund.md,21,transcript_line,DATE_TIME,1877,0.85,92,96
transcript_02_refund.md,21,transcript_line,LOCATION,Chicago,0.85,118,125
transcript_02_refund.md,21,transcript_line,DATE_TIME,8802,0.85,149,153
transcript_02_refund.md,21,transcript_line,DATE_TIME,2023-04-11,0.85,171,181
transcript_02_refund.md,21,transcript_line,URL,example.com,0.5,62,73
transcript_02_refund.md,21,transcript_line,PHONE_NUMBER,+1-312-555-0143,0.4,75,90
transcript_02_refund.md,23,transcript_line,PERSON,Marcus,0.85,24,30
transcript_02_refund.md,23,transcript_line,DATE_TIME,July 16th,0.85,101,110
transcript_02_refund.md,23,transcript_line,LOCATION,"the Terracotta Ridge Planter, Large",0.85,127,162
transcript_02_refund.md,32,transcript_line,DATE_TIME,30-day,0.85,18,24
transcript_02_refund.md,35,transcript_line,DATE_TIME,RF-2026-08841,0.85,20,33
transcript_02_refund.md,35,transcript_line,DATE_TIME,2026-07-19T16:49:12Z,0.85,94,114
transcript_02_refund.md,37,transcript_line,DATE_TIME,3–5 business days,0.85,97,114
transcript_02_refund.md,43,transcript_line,DATE_TIME,the next 30 days,0.85,143,159
transcript_02_refund.md,47,transcript_line,PERSON,Marcus,0.85,34,40
transcript_03_escalation.md,4,transcript_line,DATE_TIME,2026-07-23,0.95,10,20
transcript_03_escalation.md,4,transcript_line,DATE_TIME,2026-07-23 21:33,0.85,10,26
transcript_03_escalation.md,7,transcript_line,DATE_TIME,19447,0.85,73,78
transcript_03_escalation.md,11,transcript_line,DATE_TIME,three weeks,0.85,32,43
transcript_03_escalation.md,13,transcript_line,DATE_TIME,three weeks,0.85,77,88
transcript_03_escalation.md,15,transcript_line,EMAIL_ADDRESS,priya.raghunathan@example.org,1.0,14,43
transcript_03_escalation.md,15,transcript_line,URL,example.org,0.5,32,43
transcript_03_escalation.md,20,transcript_line,EMAIL_ADDRESS,priya.raghunathan@example.org,1.0,56,85
transcript_03_escalation.md,20,transcript_line,PERSON,Priya Raghunathan,0.85,37,54
transcript_03_escalation.md,20,transcript_line,LOCATION,Newton,0.85,124,130
transcript_03_escalation.md,20,transcript_line,DATE_TIME,2021-09-30,0.85,176,186
transcript_03_escalation.md,20,transcript_line,URL,example.org,0.5,74,85
transcript_03_escalation.md,20,transcript_line,PHONE_NUMBER,+1-617-555-0192,0.4,87,102
transcript_03_escalation.md,22,transcript_line,PERSON,Priya,0.85,31,36
transcript_03_escalation.md,22,transcript_line,DATE_TIME,ORD-2026-3155,0.85,44,57
transcript_03_escalation.md,22,transcript_line,DATE_TIME,June 28th,0.85,109,118
transcript_03_escalation.md,22,transcript_line,DATE_TIME,July 2nd,0.85,156,164
transcript_03_escalation.md,22,transcript_line,DATE_TIME,July 8th,0.85,216,224
transcript_03_escalation.md,35,transcript_line,DATE_TIME,2026-07-02,0.85,148,158
transcript_03_escalation.md,35,transcript_line,DATE_TIME,2026-07-08,0.85,182,192
transcript_03_escalation.md,35,transcript_line,DATE_TIME,2026-07-23,0.85,220,230
transcript_03_escalation.md,35,transcript_line,DATE_TIME,15 days,0.85,233,240
transcript_03_escalation.md,35,transcript_line,DATE_TIME,2021,0.85,410,414
transcript_03_escalation.md,35,transcript_line,PHONE_NUMBER,2026-07-23 — 15,0.4,220,235
transcript_03_escalation.md,36,transcript_line,DATE_TIME,4 business hours,0.85,97,113
transcript_03_escalation.md,38,transcript_line,DATE_TIME,4 business hours,0.85,119,135
transcript_03_escalation.md,38,transcript_line,DATE_TIME,three weeks,0.85,187,198
transcript_03_escalation.md,46,transcript_line,PERSON,Arun Raghunathan,0.85,109,125
transcript_03_escalation.md,48,transcript_line,PERSON,Arun,0.85,93,97
logs_sample.jsonl,1,full_log_record,IP_ADDRESS,78.44.105.186,0.95,196,209
logs_sample.jsonl,1,full_log_record,DATE_TIME,1721000000,0.85,7,17
logs_sample.jsonl,1,full_log_record,PHONE_NUMBER,1721000000,0.4,7,17
logs_sample.jsonl,1,full_log_record,PHONE_NUMBER,1721000000,0.4,90,100
logs_sample.jsonl,1,full_log_record,PHONE_NUMBER,78.44.105.186,0.4,196,209
logs_sample.jsonl,1,full_log_record,US_BANK_NUMBER,1721000000,0.05,7,17
logs_sample.jsonl,2,full_log_record,EMAIL_ADDRESS,marcus.webb@example.com,1.0,176,199
logs_sample.jsonl,2,full_log_record,EMAIL_ADDRESS,marcus.webb@example.com,1.0,279,302
logs_sample.jsonl,2,full_log_record,PERSON,Marcus Webb,0.85,255,266
logs_sample.jsonl,2,full_log_record,DATE_TIME,1877,0.85,354,358
logs_sample.jsonl,2,full_log_record,LOCATION,Chicago,0.85,380,387
logs_sample.jsonl,2,full_log_record,DATE_TIME,8802,0.85,425,429
logs_sample.jsonl,2,full_log_record,PHONE_NUMBER,+1-312-555-0143,0.75,315,330
logs_sample.jsonl,2,full_log_record,URL,example.com,0.5,188,199
logs_sample.jsonl,2,full_log_record,URL,example.com,0.5,291,302
logs_sample.jsonl,2,full_log_record,PHONE_NUMBER,1721000137,0.4,7,17
logs_sample.jsonl,2,full_log_record,PHONE_NUMBER,1721000137,0.4,88,98
logs_sample.jsonl,2,full_log_record,US_BANK_NUMBER,1721000137,0.05,7,17
logs_sample.jsonl,3,full_log_record,EMAIL_ADDRESS,priya.raghunathan@example.org,1.0,856,885
logs_sample.jsonl,3,full_log_record,DATE_TIME,2021-09-01,0.95,1171,1181
logs_sample.jsonl,3,full_log_record,DATE_TIME,2021-09-10,0.95,1203,1213
logs_sample.jsonl,3,full_log_record,LOCATION,kb_search      ,0.85,603,618
logs_sample.jsonl,3,full_log_record,LOCATION,Newton,0.85,957,963
logs_sample.jsonl,3,full_log_record,DATE_TIME,2021-09-30,0.85,1028,1038
logs_sample.jsonl,3,full_log_record,PHONE_NUMBER,+1-617-555-0192,0.75,898,913
logs_sample.jsonl,3,full_log_record,URL,example.org,0.5,874,885
logs_sample.jsonl,3,full_log_record,PHONE_NUMBER,1721000274,0.4,7,17
logs_sample.jsonl,3,full_log_record,PHONE_NUMBER,1721000274,0.4,88,98
logs_sample.jsonl,3,full_log_record,US_BANK_NUMBER,1721000274,0.05,7,17
logs_sample.jsonl,4,full_log_record,DATE_TIME,4 business hours,0.85,217,233
logs_sample.jsonl,4,full_log_record,PHONE_NUMBER,1721000411,0.4,7,17
logs_sample.jsonl,4,full_log_record,PHONE_NUMBER,1721000411,0.4,90,100
logs_sample.jsonl,4,full_log_record,US_BANK_NUMBER,1721000411,0.05,7,17
logs_sample.jsonl,5,full_log_record,DATE_TIME,1721000548,0.85,7,17
logs_sample.jsonl,5,full_log_record,PERSON,Kessler,0.85,182,189
logs_sample.jsonl,5,full_log_record,PHONE_NUMBER,1721000548,0.4,7,17
logs_sample.jsonl,5,full_log_record,PHONE_NUMBER,1721000548,0.4,88,98
logs_sample.jsonl,5,full_log_record,US_BANK_NUMBER,1721000548,0.05,7,17
logs_sample.jsonl,6,full_log_record,IP_ADDRESS,159.243.184.172,0.95,226,241
logs_sample.jsonl,6,full_log_record,PERSON,sess_1721000685_73a734,0.85,85,107
logs_sample.jsonl,6,full_log_record,DATE_TIME,ORD-2026-5010,0.85,196,209
logs_sample.jsonl,6,full_log_record,PHONE_NUMBER,1721000685,0.4,7,17
logs_sample.jsonl,6,full_log_record,PHONE_NUMBER,1721000685,0.4,90,100
logs_sample.jsonl,6,full_log_record,US_BANK_NUMBER,1721000685,0.05,7,17
logs_sample.jsonl,7,full_log_record,EMAIL_ADDRESS,priya.raghunathan@example.org,1.0,176,205
logs_sample.jsonl,7,full_log_record,EMAIL_ADDRESS,priya.raghunathan@example.org,1.0,291,320
logs_sample.jsonl,7,full_log_record,LOCATION,Newton,0.85,392,398
logs_sample.jsonl,7,full_log_record,PHONE_NUMBER,+1-617-555-0192,0.75,333,348
logs_sample.jsonl,7,full_log_record,URL,example.org,0.5,194,205
logs_sample.jsonl,7,full_log_record,URL,example.org,0.5,309,320
logs_sample.jsonl,7,full_log_record,PHONE_NUMBER,1721000822,0.4,7,17
logs_sample.jsonl,7,full_log_record,PHONE_NUMBER,1721000822,0.4,88,98
logs_sample.jsonl,7,full_log_record,US_BANK_NUMBER,1721000822,0.05,7,17
logs_sample.jsonl,8,full_log_record,EMAIL_ADDRESS,daniel.okonkwo@example.net,1.0,868,894
logs_sample.jsonl,8,full_log_record,DATE_TIME,2026-06-25,0.95,1184,1194
logs_sample.jsonl,8,full_log_record,DATE_TIME,2026-06-28,0.95,1216,1226
logs_sample.jsonl,8,full_log_record,LOCATION,kb_search      ,0.85,604,619
logs_sample.jsonl,8,full_log_record,PERSON,Kessler,0.85,718,725
logs_sample.jsonl,8,full_log_record,PERSON,Daniel Okonkwo,0.85,841,855
logs_sample.jsonl,8,full_log_record,DATE_TIME,4419,0.85,946,950
logs_sample.jsonl,8,full_log_record,LOCATION,Hawthorne Blvd,0.85,954,968
logs_sample.jsonl,8,full_log_record,LOCATION,Portland,0.85,970,978
logs_sample.jsonl,8,full_log_record,DATE_TIME,2024-01-22,0.85,1043,1053
logs_sample.jsonl,8,full_log_record,PHONE_NUMBER,+1-503-555-0178,0.75,907,922
logs_sample.jsonl,8,full_log_record,URL,example.net,0.5,883,894
logs_sample.jsonl,8,full_log_record,PHONE_NUMBER,1721000959,0.4,7,17
logs_sample.jsonl,8,full_log_record,PHONE_NUMBER,1721000959,0.4,89,99
logs_sample.jsonl,8,full_log_record,US_BANK_NUMBER,1721000959,0.05,7,17
logs_sample.jsonl,9,full_log_record,DATE_TIME,1721001096,0.85,7,17
logs_sample.jsonl,9,full_log_record,PHONE_NUMBER,1721001096,0.4,7,17
logs_sample.jsonl,9,full_log_record,PHONE_NUMBER,1721001096,0.4,90,100
logs_sample.jsonl,9,full_log_record,US_BANK_NUMBER,1721001096,0.05,7,17
logs_sample.jsonl,10,full_log_record,DATE_TIME,1721001233,0.85,7,17
logs_sample.jsonl,10,full_log_record,PHONE_NUMBER,1721001233,0.4,7,17
logs_sample.jsonl,10,full_log_record,PHONE_NUMBER,1721001233,0.4,88,98
logs_sample.jsonl,10,full_log_record,US_BANK_NUMBER,1721001233,0.05,7,17
logs_sample.jsonl,11,full_log_record,IP_ADDRESS,112.232.145.134,0.95,252,267
logs_sample.jsonl,11,full_log_record,DATE_TIME,three weeks,0.85,178,189
logs_sample.jsonl,11,full_log_record,PHONE_NUMBER,1721001370,0.4,7,17
logs_sample.jsonl,11,full_log_record,PHONE_NUMBER,1721001370,0.4,90,100
logs_sample.jsonl,11,full_log_record,PHONE_NUMBER,112.232.145.134,0.4,252,267
logs_sample.jsonl,11,full_log_record,US_BANK_NUMBER,1721001370,0.05,7,17
logs_sample.jsonl,12,full_log_record,EMAIL_ADDRESS,tomas.delgado@example.org,1.0,176,201
logs_sample.jsonl,12,full_log_record,EMAIL_ADDRESS,tomas.delgado@example.org,1.0,288,313
logs_sample.jsonl,12,full_log_record,PERSON,Delgado,0.85,268,275
logs_sample.jsonl,12,full_log_record,LOCATION,Miami,0.85,390,395
logs_sample.jsonl,12,full_log_record,LOCATION,FL,0.85,397,399
logs_sample.jsonl,12,full_log_record,PHONE_NUMBER,+1-786-555-0121,0.75,326,341
logs_sample.jsonl,12,full_log_record,URL,tomas.de,0.5,176,184
logs_sample.jsonl,12,full_log_record,URL,example.org,0.5,190,201
logs_sample.jsonl,12,full_log_record,URL,tomas.de,0.5,288,296
logs_sample.jsonl,12,full_log_record,URL,example.org,0.5,302,313
logs_sample.jsonl,12,full_log_record,PHONE_NUMBER,1721001507,0.4,7,17
logs_sample.jsonl,12,full_log_record,PHONE_NUMBER,1721001507,0.4,88,98
logs_sample.jsonl,12,full_log_record,US_BANK_NUMBER,1721001507,0.05,7,17
logs_sample.jsonl,13,full_log_record,EMAIL_ADDRESS,tomas.delgado@example.org,1.0,874,899
logs_sample.jsonl,13,full_log_record,DATE_TIME,2026-05-14,0.95,1188,1198
logs_sample.jsonl,13,full_log_record,DATE_TIME,2026-05-20,0.95,1220,1230
logs_sample.jsonl,13,full_log_record,LOCATION,kb_search      ,0.85,603,618
logs_sample.jsonl,13,full_log_record,PERSON,Delgado,0.85,854,861
logs_sample.jsonl,13,full_log_record,LOCATION,Miami,0.85,976,981
logs_sample.jsonl,13,full_log_record,LOCATION,FL,0.85,983,985
logs_sample.jsonl,13,full_log_record,DATE_TIME,2022-11-03,0.85,1046,1056
logs_sample.jsonl,13,full_log_record,PHONE_NUMBER,+1-786-555-0121,0.75,912,927
logs_sample.jsonl,13,full_log_record,URL,tomas.de,0.5,874,882
logs_sample.jsonl,13,full_log_record,URL,example.org,0.5,888,899
logs_sample.jsonl,13,full_log_record,PHONE_NUMBER,1721001644,0.4,7,17
logs_sample.jsonl,13,full_log_record,PHONE_NUMBER,1721001644,0.4,88,98
logs_sample.jsonl,13,full_log_record,US_BANK_NUMBER,1721001644,0.05,7,17
logs_sample.jsonl,14,full_log_record,DATE_TIME,30-day,0.85,173,179
logs_sample.jsonl,14,full_log_record,PHONE_NUMBER,1721001781,0.4,7,17
logs_sample.jsonl,14,full_log_record,PHONE_NUMBER,1721001781,0.4,90,100
logs_sample.jsonl,14,full_log_record,US_BANK_NUMBER,1721001781,0.05,7,17
logs_sample.jsonl,15,full_log_record,DATE_TIME,two weeks,0.85,204,213
logs_sample.jsonl,15,full_log_record,PHONE_NUMBER,1721001918,0.4,7,17
logs_sample.jsonl,15,full_log_record,PHONE_NUMBER,1721001918,0.4,88,98
logs_sample.jsonl,15,full_log_record,US_BANK_NUMBER,1721001918,0.05,7,17
logs_sample.jsonl,16,full_log_record,IP_ADDRESS,107.118.178.98,0.95,226,240
logs_sample.jsonl,16,full_log_record,DATE_TIME,ORD-2026-5010,0.85,196,209
logs_sample.jsonl,16,full_log_record,DATE_TIME,107.118.178.98,0.85,226,240
logs_sample.jsonl,16,full_log_record,PHONE_NUMBER,1721002055,0.4,7,17
logs_sample.jsonl,16,full_log_record,PHONE_NUMBER,1721002055,0.4,90,100
logs_sample.jsonl,16,full_log_record,US_BANK_NUMBER,1721002055,0.05,7,17
logs_sample.jsonl,17,full_log_record,EMAIL_ADDRESS,daniel.okonkwo@example.net,1.0,176,202
logs_sample.jsonl,17,full_log_record,EMAIL_ADDRESS,daniel.okonkwo@example.net,1.0,285,311
logs_sample.jsonl,17,full_log_record,PERSON,Daniel Okonkwo,0.85,258,272
logs_sample.jsonl,17,full_log_record,DATE_TIME,4419,0.85,363,367
logs_sample.jsonl,17,full_log_record,LOCATION,Hawthorne Blvd,0.85,371,385
logs_sample.jsonl,17,full_log_record,LOCATION,Portland,0.85,387,395
logs_sample.jsonl,17,full_log_record,PHONE_NUMBER,+1-503-555-0178,0.75,324,339
logs_sample.jsonl,17,full_log_record,URL,example.net,0.5,191,202
logs_sample.jsonl,17,full_log_record,URL,example.net,0.5,300,311
logs_sample.jsonl,17,full_log_record,PHONE_NUMBER,1721002192,0.4,7,17
logs_sample.jsonl,17,full_log_record,PHONE_NUMBER,1721002192,0.4,88,98
logs_sample.jsonl,17,full_log_record,US_BANK_NUMBER,1721002192,0.05,7,17
logs_sample.jsonl,18,full_log_record,EMAIL_ADDRESS,tomas.delgado@example.org,1.0,876,901
logs_sample.jsonl,18,full_log_record,DATE_TIME,2025-05-01,0.95,1190,1200
logs_sample.jsonl,18,full_log_record,DATE_TIME,2025-05-08,0.95,1222,1232
logs_sample.jsonl,18,full_log_record,PERSON,sess_1721002329_44339b,0.85,83,105
logs_sample.jsonl,18,full_log_record,LOCATION,kb_search      ,0.85,603,618
logs_sample.jsonl,18,full_log_record,DATE_TIME,two weeks,0.85,739,748
logs_sample.jsonl,18,full_log_record,PERSON,Delgado,0.85,856,863
logs_sample.jsonl,18,full_log_record,LOCATION,Miami,0.85,978,983
logs_sample.jsonl,18,full_log_record,LOCATION,FL,0.85,985,987
logs_sample.jsonl,18,full_log_record,DATE_TIME,2022-11-03,0.85,1048,1058
logs_sample.jsonl,18,full_log_record,DATE_TIME,1724,0.85,1381,1385
logs_sample.jsonl,18,full_log_record,PHONE_NUMBER,+1-786-555-0121,0.75,914,929
logs_sample.jsonl,18,full_log_record,URL,tomas.de,0.5,876,884
logs_sample.jsonl,18,full_log_record,URL,example.org,0.5,890,901
logs_sample.jsonl,18,full_log_record,PHONE_NUMBER,1721002329,0.4,7,17
logs_sample.jsonl,18,full_log_record,PHONE_NUMBER,1721002329,0.4,88,98
logs_sample.jsonl,18,full_log_record,US_BANK_NUMBER,1721002329,0.05,7,17
logs_sample.jsonl,19,full_log_record,DATE_TIME,4 business hours,0.85,217,233
logs_sample.jsonl,19,full_log_record,PHONE_NUMBER,1721002466,0.4,7,17
logs_sample.jsonl,19,full_log_record,PHONE_NUMBER,1721002466,0.4,90,100
logs_sample.jsonl,19,full_log_record,US_BANK_NUMBER,1721002466,0.05,7,17
logs_sample.jsonl,20,full_log_record,PERSON,Kessler,0.85,182,189
logs_sample.jsonl,20,full_log_record,PHONE_NUMBER,1721002603,0.4,7,17
logs_sample.jsonl,20,full_log_record,PHONE_NUMBER,1721002603,0.4,88,98
logs_sample.jsonl,20,full_log_record,US_BANK_NUMBER,1721002603,0.05,7,17
logs_sample.jsonl,21,full_log_record,IP_ADDRESS,149.178.74.224,0.95,215,229
logs_sample.jsonl,21,full_log_record,DATE_TIME,two weeks,0.85,189,198
logs_sample.jsonl,21,full_log_record,PHONE_NUMBER,1721002740,0.4,7,17
logs_sample.jsonl,21,full_log_record,PHONE_NUMBER,1721002740,0.4,90,100
logs_sample.jsonl,21,full_log_record,PHONE_NUMBER,149.178.74.224,0.4,215,229
logs_sample.jsonl,21,full_log_record,US_BANK_NUMBER,1721002740,0.05,7,17
